,time,backbone,protein,rank_3_ligand
0,0,0.0,0.0,0.0
1,1,0.63,0.85,0.94
2,2,0.77,1.01,1.48
3,3,0.85,1.09,1.42
4,4,0.95,1.19,1.52
5,5,1.08,1.36,1.68
6,6,1.06,1.37,1.12
7,7,1.11,1.43,0.73
8,8,1.15,1.46,0.81
9,9,1.22,1.5,0.75
10,10,1.24,1.53,0.5
11,11,1.26,1.56,0.9
12,12,1.26,1.58,0.62
13,13,1.28,1.6,0.84
14,14,1.29,1.6,0.82
15,15,1.31,1.64,0.78
16,16,1.3,1.63,0.76
17,17,1.34,1.68,0.79
18,18,1.3,1.65,1.27
19,19,1.36,1.7,1.33
20,20,1.32,1.65,0.92
21,21,1.34,1.68,1.04
22,22,1.36,1.7,0.9
23,23,1.33,1.66,1.35
24,24,1.33,1.68,0.86
25,25,1.35,1.71,0.91
26,26,1.38,1.75,1.08
27,27,1.4,1.72,1.18
28,28,1.32,1.7,1.5
29,29,1.28,1.68,1.34
30,30,1.27,1.67,1.58
31,31,1.3,1.67,1.7
32,32,1.26,1.64,1.64
33,33,1.27,1.68,1.6
34,34,1.16,1.6,1.17
35,35,1.24,1.67,1.44
36,36,1.27,1.67,1.57
37,37,1.3,1.68,1.68
38,38,1.26,1.65,1.39
39,39,1.32,1.7,1.38
40,40,1.33,1.72,1.26
41,41,1.28,1.66,1.53
42,42,1.32,1.71,1.51
43,43,1.29,1.68,1.15
44,44,1.26,1.67,1.38
45,45,1.31,1.7,1.81
46,46,1.27,1.68,1.47
47,47,1.26,1.67,1.57
48,48,1.3,1.72,1.72
49,49,1.27,1.65,1.79
50,50,1.25,1.67,1.57
51,51,1.29,1.71,1.39
52,52,1.31,1.71,1.53
53,53,1.34,1.75,1.57
54,54,1.38,1.79,1.15
55,55,1.41,1.83,1.57
56,56,1.41,1.8,1.43
57,57,1.45,1.84,1.48
58,58,1.4,1.8,1.25
59,59,1.36,1.78,1.47
60,60,1.35,1.76,1.24
61,61,1.27,1.69,1.47
62,62,1.33,1.73,1.57
63,63,1.43,1.81,1.39
64,64,1.4,1.8,1.64
65,65,1.38,1.78,1.47
66,66,1.43,1.8,1.46
67,67,1.38,1.79,1.49
68,68,1.36,1.74,1.44
69,69,1.35,1.76,1.36
70,70,1.36,1.75,1.42
71,71,1.37,1.79,1.44
72,72,1.38,1.79,1.32
73,73,1.43,1.81,1.27
74,74,1.4,1.79,1.56
75,75,1.44,1.83,1.68
76,76,1.45,1.84,1.21
77,77,1.53,1.9,1.47
78,78,1.58,1.91,1.47
79,79,1.52,1.88,1.48
80,80,1.47,1.86,1.68
81,81,1.41,1.82,1.67
82,82,1.47,1.86,1.5
83,83,1.45,1.84,1.51
84,84,1.45,1.84,1.74
85,85,1.53,1.89,1.57
86,86,1.5,1.9,1.51
87,87,1.45,1.86,1.9
88,88,1.46,1.86,1.62
89,89,1.41,1.84,1.77
90,90,1.4,1.82,1.5
91,91,1.39,1.79,1.31
92,92,1.38,1.8,1.51
93,93,1.43,1.83,1.48
94,94,1.42,1.83,1.55
95,95,1.46,1.86,1.51
96,96,1.41,1.82,1.91
97,97,1.4,1.81,1.08
98,98,1.38,1.81,1.37
99,99,1.34,1.78,1.3
