time,backbone,protein,rank_4_ligand
0,0.0,0.0,0.0
1,0.59,0.77,1.01
2,0.69,0.95,1.96
3,0.72,0.99,2.16
4,0.78,1.11,1.87
5,0.84,1.16,2.1
6,0.81,1.21,2.58
7,0.88,1.24,2.71
8,0.97,1.33,2.42
9,1.0,1.34,2.52
10,0.94,1.35,2.86
11,0.97,1.4,2.84
12,1.01,1.39,2.86
13,0.98,1.37,2.83
14,0.92,1.35,2.92
15,0.95,1.39,3.32
16,0.98,1.38,3.11
17,0.96,1.37,3.2
18,1.0,1.42,2.68
19,1.02,1.41,2.75
20,1.01,1.43,2.26
21,1.05,1.48,2.46
22,1.06,1.48,2.32
23,1.08,1.48,2.59
24,1.06,1.48,3.22
25,1.1,1.52,3.4
26,1.08,1.5,3.17
27,1.1,1.52,2.8
28,1.11,1.54,2.71
29,1.14,1.58,2.34
30,1.13,1.57,2.94
31,1.16,1.58,2.7
32,1.13,1.58,2.73
33,1.17,1.61,2.79
34,1.2,1.64,2.74
35,1.14,1.58,2.6
36,1.13,1.61,2.56
37,1.1,1.59,3.39
38,1.13,1.6,2.64
39,1.09,1.57,3.51
40,1.1,1.58,3.5
41,1.12,1.58,3.84
42,1.12,1.6,3.79
43,1.12,1.62,4.27
44,1.19,1.67,4.2
45,1.17,1.64,4.31
46,1.17,1.68,4.2
47,1.16,1.69,4.34
48,1.13,1.63,4.81
49,1.14,1.66,4.38
50,1.13,1.67,4.47
51,1.14,1.66,4.31
52,1.1,1.65,3.9
53,1.12,1.67,4.32
54,1.18,1.73,3.99
55,1.15,1.71,4.76
56,1.18,1.74,4.58
57,1.18,1.74,4.65
58,1.18,1.74,4.21
59,1.24,1.78,3.94
60,1.25,1.79,3.91
61,1.21,1.76,3.95
62,1.22,1.77,3.77
63,1.23,1.78,3.97
64,1.18,1.7,4.02
65,1.24,1.76,4.1
66,1.21,1.75,4.1
67,1.26,1.77,4.22
68,1.28,1.8,3.57
69,1.24,1.78,4.17
70,1.23,1.75,3.67
71,1.23,1.8,3.93
72,1.22,1.77,4.4
73,1.24,1.77,4.56
74,1.25,1.78,4.13
75,1.27,1.81,3.86
76,1.26,1.77,3.81
77,1.16,1.75,3.39
78,1.2,1.73,3.56
79,1.21,1.75,3.97
80,1.25,1.79,4.01
81,1.23,1.78,4.17
82,1.29,1.83,3.79
83,1.24,1.8,3.65
84,1.26,1.81,3.86
85,1.28,1.83,3.55
86,1.32,1.86,3.38
87,1.32,1.84,3.73
88,1.34,1.86,3.98
89,1.31,1.85,4.07
90,1.36,1.91,4.09
91,1.33,1.89,3.88
92,1.32,1.87,4.33
93,1.31,1.87,4.39
94,1.28,1.85,4.28
95,1.31,1.86,4.02
96,1.31,1.88,4.3
97,1.36,1.89,4.23
98,1.41,1.93,3.81
99,1.43,1.95,3.96
